freq,unit,geo\TIME_PERIOD	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
A,GDP_BEUR,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.41 	4.88 	5.21 	5.47 	5.69 	5.6 	5.34 	5.16 	5.22 	5.21 	5.14 	4.96 	4.7 	4.55 	4.81 	4.6 	4.52 	4.38 	4.34 e	: 	: 	: 	: 
A,GDP_BEUR,FI	: 	1.18 	2.26 	2.01 	1.68 	2.25 	2.46 	2.45 	2.89 	3.62 	3.56 	3.65 	3.88 	4.12 	6.11 	7.94 	8.06 	7.18 	8.5 	9.41 	10.19 	11.7 	10.86 	10.14 	9.01 	8.91 	9.26 	8.54 	8.15 	7.1 	6.82 	7.64 	7.79 	7.14 	8.52 	9.02 e	4.98 e	: 	: 	: 
A,GDP_BEUR,FR	: 	4.74 	4.79 	5.08 	4.96 	5.05 	4.93 	5.09 	4.96 	5.48 	5.64 	5.48 	5.01 	4.89 	4.36 	4.32 	4.33 	4.28 	4.54 	4.98 	5.16 	5.27 	5.08 	4.88 	4.83 	5.01 	5.04 	4.88 	4.73 	4.58 	4.52 	4.59 	4.38 	4.46 	4.38 	4.36 e	2.35 e	: 	: 	: 
A,GDP_BEUR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.4 	1.4 	0.99 	0.84 	0.57 	0.8 	0.87 	0.85 	0.67 	0.82 	1.31 	1.34 	0.97 	0.93 	0.89 	0.72 	0.61 	0.49 	0.68 	0.38 	0.45 	0.43 e	: 	: 	: 	: 
A,GDP_BEUR,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.13 	2.74 	1.52 	1.27 	1.61 	1.78 	1.79 	1.33 	2.49 	2.41 	1.7 	1.71 	1.8 	1.87 	1.53 	1.84 	1.92 	1.72 	2.02 	2.03 	2.24 	2.14 	2.2 e	1.17 e	: 	: 	: 
A,GDP_BEUR,IE	: 	0.7 	0.82 	0.75 	1.09 	1.43 	2.3 	2.38 	1.71 	1.59 	1.06 	1.45 	1 	1.04 	1.02 	1.13 	1.21 	1.9 	1.88 	1.82 	2.37 	2.57 	1.95 	2.14 	1.72 	1.62 	1.82 	1.69 	1.64 	1.74 	1.82 	2.13 	2.05 	2.29 	1.91 	2.01 e	0.96 e	: 	: 	: 
A,GDP_BEUR,IL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.82 	3.25 	4.98 	6.11 	6.67 	8.73 	8.29 	8.2 	7.51 	7.34 	8.1 	6.92 	5.16 	3.93 	4.03 	3.75 	3.05 	3.78 	3.32 e	3.17 e	: 	: 	: 
A,GDP_BEUR,IN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.59 	0.57 	0.48 	0.38 	0.38 	0.44 	: 	: 	: 	: 	: 	: 	: 	: 
A,GDP_BEUR,IS	: 	: 	: 	0.65 	0.92 	0.43 	0.7 	0.99 	0.83 	0.27 	0.58 	0.78 	1.37 	1.86 	1.02 	1.16 	1.75 	2.08 	2.34 	2.44 	3.23 	4.39 	3.98 	2.4 	4.24 	3.17 	2.99 	2.53 	2.27 	1.66 	2.42 	2.97 	1.91 	2.25 	2.62 	2.58 e	1.36 e	: 	: 	: 
A,GDP_BEUR,IT	: 	0.67 	0.92 	1.69 	2.01 	2.66 	3.55 	4.23 	2.6 	2.08 	1.94 	2.25 	2.5 	2.37 	2.21 	2.59 	2.61 	2.86 	2.9 	2.98 	3.06 	3.29 	3.34 	3.18 	3.25 	3.28 	3.29 	3.42 	3.39 	3.17 	3.02 	2.92 	2.9 	2.79 	2.77 	2.76 e	1.44 e	: 	: 	: 
