freq,unit,geo\TIME_PERIOD	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
A,MIO_PPS,JP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 e	: 	: 	: 	: 
A,MIO_PPS,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,MIO_PPS,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,MIO_PPS,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,MIO_PPS,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,MIO_PPS,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 e	: 	: 	: 	: 
A,MIO_PPS,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,MIO_PPS,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,MIO_PPS,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,MIO_PPS,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,MIO_PPS,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 e	: 	: 	: 	: 
A,MIO_PPS,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,MIO_PPS,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,MIO_PPS,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,MIO_PPS,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,MIO_PPS,US	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	: 	: 	: 	: 
A,NR,AT	: 	265.25 	263.47 	307.08 	374 	395.82 	509.51 	575.08 	529.84 	608.3 	649.47 	665.37 	641.38 	654.95 	614.98 	655.15 	675.61 	671.1 	761.01 	966.54 	954.23 	1072.29 	1183.2 	1202.37 	1291.16 	1392.31 	1449.57 	1523.82 	1750.34 	1721.99 	1626.17 	1711.29 	1770.51 	1800.32 	1862.96 	1913.52 e	1961.19 e	2001.61 be	2025.15 e	2029.62 e
A,NR,AU	: 	167.25 	239.33 	273.3 	284.33 	372.34 	420.72 	475.67 	397.18 	360.64 	343.68 	358.32 	365.47 	396.86 	386.22 	433.4 	451.7 	505.68 	467.19 	643.12 	694.45 	968.84 	1028.04 	980.87 	1048.99 	1084.99 	1155.87 	1150 	1024.03 	942.63 	920.06 	916.28 	822.01 	871.52 	856.17 	836.13 e	840.84 e	: 	: 	: 
A,NR,BE	: 	247.77 	250.78 	249.67 	314.57 	328.78 	410.87 	392.86 	461.23 	497.23 	513.08 	574.15 	511.6 	588.75 	677.39 	800.07 	776.71 	812.36 	898.01 	1152.93 	1154.17 	1344.4 	1312.92 	1215.1 	1334.82 	1363.15 	1519.57 	1519.14 	1542.08 	1564.96 	1501.39 	1418.15 	1515.06 	1516.51 	1506.64 	1536.14 e	1543.17 e	1569.72 be	1589.1 e	1655.44 e
A,NR,BG	: 	: 	: 	: 	12 	16 	19.33 	20.35 	10.25 	20.97 	16.5 	11.4 	7.65 	3.25 	4.58 	8.47 	3 	8.17 	4.33 	7.73 	9.1 	8.01 	7.43 	15.98 	14.63 	21.28 	17.63 	23.32 	27.13 	12.17 	18.65 	15.83 	16.97 	26.38 	33.82 	39.82 e	47.44 e	31.88 be	31.06 e	29.33 e
A,NR,BR	: 	13.73 	10.62 	19.92 	16.65 	15.82 	16.94 	31.42 	11.48 	18.62 	20.27 	19.32 	41.7 	30.58 	48.01 	49.43 	37.91 	57.37 	51.96 	87.2 	78.14 	124.12 	116.06 	140.93 	133.97 	176.66 	196 	207.16 	225.92 	270.47 	287.77 	259.31 	226.5 	251.56 	254.18 	252.47 e	261.13 e	: 	: 	: 
A,NR,CA	: 	143.77 	203.01 	241.64 	316.28 	355.68 	383.39 	419.34 	453.52 	555 	557.28 	599.15 	546.87 	544.42 	590.76 	662.51 	722.53 	836.54 	948.18 	1238.67 	1410.22 	1633.56 	1690.14 	1759.83 	1829.83 	1951.42 	2304.58 	2489.03 	2447.18 	2358 	2167.34 	2292.88 	2354.9 	2233.28 	2283.03 	2279.75 e	2254.7 e	: 	: 	: 
A,NR,CH	: 	887.58 	1029.75 	1153.47 	1218.65 	1367.52 	1493.57 	1490.98 	1441.68 	1693.67 	1735.65 	1775.03 	1686.76 	1585.49 	1732.3 	1673.8 	1725.91 	1688.49 	1887.76 	2151.9 	2388.74 	2497.14 	2725.69 	2816.04 	2668.29 	2795.38 	3075.89 	3220.65 	3228.82 	3274.48 	3167.75 	3149.01 	3356.34 	3289.59 	3241.89 	3272.85 e	3245.02 e	: 	: 	: 
A,NR,CN_X_HK	: 	: 	: 	: 	1 	5 	4.97 	49.5 	18.54 	21.75 	32.45 	15.27 	29.09 	28.63 	30.98 	30.16 	39.2 	52.66 	68.97 	95.66 	116.08 	187.1 	323.91 	411.84 	576.31 	825.57 	992.25 	1673.04 	1885.17 	2441.92 	2733 	3994.85 	4281.83 	4651.32 	6018.74 	6693.37 e	7497.22 e	: 	: 	: 
A,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	2.5 	1 	4 	: 	: 	: 	2 	4.11 	6.2 	14.78 	6.92 	5.03 	6 	16.79 	6.33 	10.33 	11.25 	15.23 	7.67 	5.63 	2.5 	7.94 e	8.03 e	8.76 be	9.32 e	9.08 e
A,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	17.08 	20.69 	23.75 	18.01 	31.74 	44.13 	64.25 	59.65 	66.58 	71.32 	91.13 	110.91 	112.21 	107.59 	152.93 	189.28 	209.64 	176.14 	192.59 	222.84 	231.97 	250.58 e	269.91 e	295.4 be	318.67 e	357.38 e
A,NR,DE	: 	4985.92 	6127.49 	6570.39 	6687.04 	7855.05 	8605.35 	9297.57 	9744.48 	11014.86 	11944.09 	12091.88 	11390.47 	11246.91 	11420.26 	11705.8 	12447.84 	13016.52 	15561.99 	17506.06 	19578.13 	20988.9 	22115.65 	21938.82 	21876.86 	22215.53 	23134.64 	24065.28 	24149.14 	24396.57 	23173.05 	23439.61 	23443.84 	22963.17 	21930.26 	21427.14 e	20754.91 e	21030.44 be	20138.13 e	18881.7 e
A,NR,DK	: 	110.1 	150.02 	159.65 	154.64 	187.57 	219.05 	232.81 	222.61 	238.93 	306.82 	320.15 	330.89 	358.61 	392.8 	430.35 	479.73 	501.86 	625.76 	639.19 	801 	872.22 	983.61 	929.02 	966.11 	1116.14 	1113.67 	1193.59 	1140.05 	1310.81 	1306.68 	1202.07 	1289.44 	1466.53 	1318.17 	1356.87 e	1379.35 e	1362.08 be	1372.4 e	1417.73 e
A,NR,EA18	: 	8582.62 	10486.06 	11703.86 	12289.23 	14064.75 	15448.3 	16920 	17915.86 	20429.95 	22139.91 	23042.27 	22031.66 	22016.63 	21976.43 	22842 	24037.64 	25208.75 	29437.91 	33392.46 	36687.94 	39985.94 	42177.53 	42470.09 	42595.2 	43795.19 	46133.73 	47540.74 	48423.53 	48308.87 	47051.01 	46986.05 	46655.62 	46985.04 	46130.39 	45845.17 e	45575.02 e	46010.73 be	44850.64 e	43549.64 e
A,NR,EA19	: 	8582.62 	10486.06 	11703.86 	12289.23 	14064.75 	15448.3 	16920 	17915.86 	20429.95 	22139.91 	23042.27 	22031.66 	22016.63 	21976.43 	22843 	24038.74 	25211.75 	29439.41 	33393.79 	36688.61 	39988.94 	42182.22 	42473.24 	42597.85 	43812.04 	46144.85 	47549.54 	48433.2 	48318.66 	47067.88 	46994.36 	46671.52 	47003.89 	46162.94 	45885.8 e	45623.89 e	46035.23 be	44869.78 e	43571.2 e
A,NR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.13 	3 	5.5 	6 	5.23 	7.28 	4.58 	9.17 	5.7 	11.4 	8.52 	6.37 	21.22 	28.22 	35.27 	44.95 	38.93 	27.9 	23.68 	27.91 e	24.24 e	38.32 be	33.01 e	36.31 e
A,NR,EL	: 	4.17 	6.53 	8.53 	8.33 	8.67 	13.58 	6.83 	14.27 	16 	19.63 	23.33 	25.5 	23.58 	35.9 	16.67 	30.55 	27.95 	36.98 	51.85 	59.94 	51.72 	56.37 	71.1 	76.95 	85.15 	66.28 	110.57 	105.88 	103.77 	94.1 	92.45 	65.5 	85.25 	101.56 	104.6 e	117.63 e	97.2 be	92.14 e	90.25 e
A,NR,ES	: 	25.92 	42.17 	49.58 	65.2 	103.67 	81.7 	124.83 	144.76 	173.79 	205.3 	245.35 	252.61 	320.37 	289.95 	365.77 	390.67 	385.14 	434.05 	584.58 	625.75 	733.92 	803.12 	878.07 	935.07 	962.82 	1217.4 	1363.63 	1351.62 	1388.27 	1443.53 	1532.81 	1511.17 	1480.28 	1517.85 	1512.86 e	1513.42 e	1628.73 be	1641.48 e	1654.56 e
A,NR,EU27_2020	: 	9187.09 	11332.4 	12697.7 	13414.8 	15275.6 	16736.2 	18271.5 	19141.6 	21737.1 	23455.7 	24430.4 	23401 	23380 	23505.7 	24498 	25947.9 	27336.7 	31995.9 	36234.3 	39695 	43256.5 	45674.1 	45760.2 	45897.2 	47305.6 	49854.6 	51536.8 	52599.8 	52947.1 	51658.3 	51367.4 	51416.4 	52010.9 	51382.7 	51387.8 e	51378.3 e	51545.3 be	50440.8 e	49211.8 e
A,NR,EU28	: 	10847.7 	13403.35 	15129.17 	16011.83 	18145.64 	19662.94 	21481.82 	22658.43 	25278.03 	27461.46 	28287.54 	26963.31 	26834.83 	26935.1 	27987.19 	29615.86 	31153.96 	36214.4 	40824.83 	44892.54 	49052.83 	51757.05 	51444.67 	51540.89 	52980.05 	55479.68 	57208.93 	58407.51 	58578.25 	57049.74 	56815.26 	56769.59 	57445.66 	56771.67 	56757.14 e	56752.99 e	57237.39 be	55984.19 e	54648.82 e
A,NR,FI	: 	38 	86.25 	93.7 	89.88 	127.08 	162.98 	177.63 	213 	282.72 	322.54 	387.31 	424.35 	417.55 	519.6 	591.87 	684.54 	718.65 	859.84 	1021.67 	1180.94 	1431.4 	1435.21 	1411.71 	1293.67 	1295.99 	1409.82 	1343.79 	1351.24 	1276.95 	1266.23 	1316.14 	1392.06 	1347.18 	1637.88 	1745.13 e	1862.82 e	1384.73 be	1314.93 e	1296.99 e
A,NR,FR	: 	2094.04 	2379.04 	2768.67 	2912.15 	3129.67 	3274.15 	3657.84 	3831.29 	4360.19 	4780.09 	5013.73 	4905.87 	4922.52 	4629.6 	4784.36 	4995.24 	5142.6 	5628.04 	6253.23 	6776.58 	7210.83 	7314.08 	7303.73 	7450.67 	7957.81 	8349.82 	8390.24 	8508.92 	8644.54 	8737.57 	8662.87 	8489.76 	8923.92 	8895.33 	8972.82 e	9133.84 e	9601.54 be	9555.39 e	9502.67 e
A,NR,HK	: 	: 	2.33 	6.5 	6.5 	6 	10.5 	17.42 	23.97 	26.88 	34.33 	27.53 	29.98 	30.53 	31.9 	41.78 	34.33 	43.11 	31.97 	19.87 	51.04 	29.78 	44.88 	33.87 	41.86 	44.66 	52 	63.4 	57.01 	79.93 	27.18 	21.8 	27.75 	22.65 	21.84 	63.24 e	75.07 e	: 	: 	: 
A,NR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.17 	12.33 	12.33 	14.25 	10.5 	16.59 	19.5 	18.37 	15.53 	21.02 	36.83 	40.53 	32.07 	33.38 	35.52 	31.21 	28.88 	22.01 	30.32 	16.97 	19.38 	18.5 e	14.56 e	17.91 be	21.06 e	19.94 e
A,NR,HU	: 	39.9 	82 	119.58 	117.25 	123.22 	120.55 	113.48 	91.78 	114.03 	96.87 	93.51 	71.37 	55.07 	46.65 	50.16 	44.3 	55.96 	64.49 	73.34 	56.91 	112.9 	121.48 	100.26 	120.45 	133.23 	153.43 	135.63 	164.96 	191.11 	181.21 	184.39 	195.47 	221.58 	207.79 	215.59 e	222.3 e	205.23 be	201.27 e	196.77 e
A,NR,IE	: 	17.5 	24.75 	17.29 	23 	26.5 	36.5 	38.75 	48.32 	62.4 	47.5 	62.93 	62.69 	64.1 	73.96 	69.73 	82.41 	98.8 	110.11 	130.39 	186.48 	232.73 	206.31 	251.8 	225.37 	227.57 	273.2 	274.82 	291.63 	329.38 	328.36 	346.31 	324.1 	371.88 	313.21 	329.13 e	330.81 e	382.11 be	361.89 e	371.46 e
A,NR,IL	: 	29.31 	28.83 	37.75 	63.02 	97.33 	99.03 	110.98 	153.65 	151.62 	167.79 	215.71 	209.35 	237 	277.15 	303.65 	355.52 	368.47 	453.66 	646.83 	793.64 	833.41 	1067.55 	971.26 	939.27 	1077.09 	1236.94 	1439.82 	1343.33 	1269.28 	1252.96 	1170.71 	1165.11 	1112.8 	1260.29 	1290.15 e	1331.83 e	: 	: 	: 
A,NR,IN	: 	: 	12.58 	8.16 	2.98 	9.71 	12.78 	12.99 	15.63 	10.81 	22.69 	24.62 	24.93 	17.39 	24.01 	25.7 	19.38 	31.02 	53.45 	67.15 	118.03 	145.1 	180.99 	277.96 	451.77 	515.14 	524.43 	588.83 	569.98 	625.18 	708.37 	824.2 	983.24 	1107.32 	1132.24 	1234.92 e	1318.81 e	: 	: 	: 
A,NR,IS	: 	: 	: 	2 	3 	1.33 	2.5 	3.83 	3.33 	1.25 	2.95 	3.95 	6.87 	10.25 	5.5 	6.08 	9.25 	11.17 	13.5 	15.96 	23.84 	35.95 	37.53 	21.18 	40.14 	30.82 	31.95 	33.19 	30.17 	24.8 	24.95 	25.8 	18.12 	22.71 	27.75 	28.4 e	: 	: 	: 	: 
A,NR,IT	: 	358.67 	607.37 	809.05 	840.18 	1044.92 	1223.01 	1456.21 	1636.44 	1933.16 	2034.89 	2293.6 	2241.81 	2306.58 	2169.78 	2267.48 	2331.74 	2478.19 	2889.85 	3153.43 	3346.98 	3734.84 	4006.51 	3987.3 	4229.12 	4396.2 	4596.36 	4911.5 	5068.83 	4927.31 	4753 	4430.63 	4500.8 	4414.55 	4333.62 	4301.28 e	4234.77 e	4369.99 be	4242.17 e	4148 e
A,NR,JP	: 	1602.1 	2699.31 	3780.41 	4265.6 	5261.88 	6371.86 	6637.76 	7489.88 	9597.4 	11168.06 	13021.33 	12998.92 	11727.12 	10960.78 	11219.09 	11022.99 	12607.8 	14387.11 	15436.52 	16402.32 	19030.18 	22102.27 	20452.14 	21074.44 	22185.36 	23257.37 	22165.79 	21928.11 	21418.99 	19413.68 	19835.17 	21925.04 	21781.35 	21096.01 	21516.29 e	21380.04 e	: 	: 	: 
A,NR,KR	: 	: 	: 	: 	5 	3.33 	17 	19.01 	14.83 	18.25 	31.17 	61.4 	120.78 	165.74 	199.53 	301.49 	363.43 	459.7 	458.3 	663.42 	929.85 	1056.89 	1270.82 	1638.33 	2362.33 	3356.29 	4499.33 	5203.67 	5236.22 	4719.17 	4028.03 	4886.97 	5400.46 	5364.84 	5847.13 	6167.18 e	6422.75 e	: 	: 	: 
A,NR,LI	: 	: 	9 	9.83 	12.5 	11.83 	12.42 	17.15 	25.42 	14.75 	19.27 	24 	22.25 	24.33 	12.75 	17.28 	22.87 	13.52 	28.84 	19.17 	39.5 	19.98 	23.98 	27.75 	25.82 	24.82 	23.81 	25.54 	31.57 	30.03 	36.81 	29.88 	43.87 	32.37 	27.7 	55.75 e	59.71 e	: 	: 	: 
A,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	1.5 	1.33 	0.67 	3 	4.69 	3.15 	2.66 	16.85 	11.12 	8.8 	9.67 	9.8 	16.87 	8.31 	15.9 	18.85 	32.56 	40.64 e	48.89 e	24.5 be	19.15 e	21.57 e
A,NR,LU	: 	22.56 	24.46 	37.97 	40.33 	29.08 	24.97 	31.05 	25.83 	16.04 	29.1 	17.27 	40.83 	28.22 	23.97 	34.46 	21.01 	28.78 	41.38 	50.94 	74.23 	62.48 	80.45 	72.98 	60.59 	87.17 	115.01 	98.41 	107.04 	73.78 	93.57 	74.63 	76.71 	69.8 	67.41 	65 e	61.1 e	65.37 be	61.46 e	55.49 e
A,NR,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	: 	: 	: 	3.7 	4.67 	1.7 	8.98 	5.13 	6.83 	7.11 	9.82 	17.82 	16.43 	15.67 	22.78 	18.66 	15.78 	17.88 	27.12 	67.17 e	: 	26.17 be	21.64 e	22.26 e
A,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	2 	4 	5 	4.5 	5.45 	4 	3.25 	6 	11.25 	6.85 	6.83 	5.5 	7.8 	3.5 	0.33 	5.5 	4.87 e	: 	7.43 be	6.65 e	6.63 e
A,NR,MX	: 	: 	7.5 	3.87 	3.5 	10.5 	2.83 	1.29 	10.42 	7.7 	11.32 	12.93 	14.17 	12.93 	10.49 	12.53 	13.32 	24.44 	20.76 	42.37 	36.57 	41.32 	29.21 	45.27 	54.22 	67.15 	59.58 	85.23 	82 	76.43 	73.18 	61.45 	64.56 	76.49 	68.22 	70.48 e	72.45 e	: 	: 	: 
A,NR,NL	: 	520.83 	670.75 	789.43 	931.35 	1013.02 	1101.26 	1154.65 	1258.57 	1451.74 	1584.82 	1657.59 	1517.78 	1422.2 	1466.85 	1480.17 	1531.35 	1759.85 	2128.28 	2407.31 	2593.2 	2960.69 	3470.54 	3925.52 	3557.8 	3502.23 	3668.51 	3517.16 	3745.79 	3348.21 	3456.76 	3454.04 	3059.78 	3449.61 	3389.47 	3367.95 e	3470.67 e	3500.2 be	3452.44 e	3477.55 e
A,NR,NO	: 	57.25 	51.25 	70.75 	76.58 	66.83 	117.9 	123.48 	121.81 	110.97 	150.64 	176.88 	130.68 	168.91 	197.25 	173 	182.97 	238.88 	271.1 	313.98 	335.82 	380.95 	402.47 	357.96 	396.44 	351.71 	397.53 	499.14 	488.55 	484.01 	455.72 	597.84 	525.73 	490.02 	523.08 	498.16 e	488.97 e	: 	: 	: 
A,NR,NZ	: 	18 	21.5 	22 	37 	52.17 	34.25 	42.58 	38 	32.33 	44.17 	38.17 	21.77 	48.62 	61.98 	55.99 	71.37 	68.53 	81.82 	118.4 	105.48 	147.93 	177.51 	151.43 	182.62 	220.02 	196.16 	169.33 	184.39 	173.79 	167.64 	152.23 	159.08 	170.42 	206.4 	224.46 e	: 	: 	: 	: 
A,NR,PL	: 	: 	16.33 	9.44 	15 	31.5 	20.83 	19.33 	29.5 	23.58 	25.06 	15.12 	19.52 	19.15 	13.5 	17.72 	19.29 	14.55 	27.58 	28.41 	28.39 	36.25 	43.06 	58.57 	83.66 	109.63 	124.52 	127.94 	140.31 	201.77 	233.72 	291.61 	361.36 	384.77 	483.31 	547.21 e	609.16 e	578.38 be	627.33 e	686.64 e
A,NR,PT	: 	1 	3 	2.5 	3.2 	2 	4.42 	5.7 	6.33 	11.53 	8.4 	6.25 	7.75 	9.42 	10.55 	18.31 	13.9 	14 	18.87 	22.77 	26.85 	37.19 	41.98 	42.45 	39.52 	66.72 	58.5 	122.85 	106.45 	123.83 	117.07 	92.22 	95.08 	121.03 	112.18 	118.83 e	126.75 e	137.37 be	139.12 e	142.23 e
A,NR,RO	: 	: 	: 	: 	7 	1 	2 	1 	: 	: 	: 	: 	: 	3.83 	0.5 	5.1 	8 	7.5 	2.83 	8.03 	5.23 	7.71 	6 	10.36 	11.35 	16.27 	23.2 	28.68 	20.18 	32.57 	33.47 	31.13 	34.63 	60.42 	71.61 	85.1 e	101.92 e	93.51 be	98.91 e	99.57 e
A,NR,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	4.57 	38.98 	117.99 	129.13 	138.17 	138.51 	170 	168.85 	212.56 	217.09 	228.25 	245.34 	186.83 	227.77 	243.73 	305.3 	272.04 	256.15 	249.58 	257.87 	335.15 	367.14 	351.98 	383.35 e	399.42 e	: 	: 	: 
A,NR,SE	: 	438.14 	583.97 	695.17 	819.68 	851.54 	906.17 	964.48 	871.6 	909.64 	870.49 	945.91 	935.91 	921.44 	1064.06 	1130.88 	1342.53 	1522.71 	1820.97 	2067.2 	2086.24 	2212.1 	2314.72 	2151.79 	2066.3 	2056.44 	2245.22 	2444.68 	2638.47 	2848.73 	2787.83 	2625.97 	2816.67 	2830.36 	3085.69 	3238.93 e	3379.68 e	2925.66 be	2900.34 e	2833.23 e
A,NR,SG	: 	: 	: 	: 	5.12 	1.5 	8 	5.33 	6.25 	4.23 	8.08 	23.53 	9.62 	26.25 	48.73 	33.49 	42.47 	46.82 	75.31 	73.31 	110.27 	137.68 	145.9 	191.26 	190.58 	224.78 	270.92 	258.85 	271.93 	259.06 	276.99 	270.72 	281.9 	264.48 	295.14 	303.28 e	310.41 e	: 	: 	: 
A,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	5 	3.33 	13.25 	21.08 	20.17 	23.99 	18.33 	19.8 	39.03 	31.37 	49.12 	51 	83.33 	73.44 	111.88 	108.42 	100.42 	120.11 	138.91 	123.25 	106.26 	112.13 	126.72 	127.88 e	135.09 e	119.09 be	112.36 e	114.25 e
A,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.03 	6.92 	8.33 	12.7 	11.27 	15.42 	11.23 	12.29 	25.69 	31.39 	20.61 	31.3 	40.36 	38.88 	36.87 	28.86 	46.5 	54.83 	44.53 	49.75 e	: 	41.93 be	54.23 e	55.14 e
A,NR,TR	: 	: 	: 	: 	1.14 	2.33 	3.25 	2 	3 	1.1 	2.5 	3.5 	3.78 	4.25 	0.48 	3.84 	3.5 	4.64 	14.82 	16.19 	30.78 	21.96 	44.94 	49.82 	66.05 	83.42 	118.39 	165.15 	188.71 	240.53 	257.54 	343.63 	485.6 	390.06 	449.03 	484.16 e	483.68 e	: 	: 	: 
A,NR,TW	: 	: 	8.5 	19.83 	28.67 	20.5 	19.5 	40.67 	39.5 	67.7 	76.08 	98.31 	108.92 	122.4 	129.74 	116.09 	107.47 	99.13 	121.91 	147.49 	175.6 	228.95 	252.87 	358.7 	490.64 	521.1 	615.51 	748.31 	864.32 	1080.85 	1100.93 	1240.64 	1372.2 	1368.98 	1285.12 	1299.95 e	1275.87 e	: 	: 	: 
A,NR,UK	: 	1660.61 	2070.96 	2431.46 	2597.03 	2870.06 	2926.71 	3210.37 	3516.83 	3540.92 	4005.8 	3857.18 	3562.31 	3454.84 	3429.4 	3489.18 	3667.92 	3817.22 	4218.52 	4590.55 	5197.57 	5796.32 	6083 	5684.43 	5643.69 	5674.48 	5625.08 	5672.17 	5807.7 	5631.2 	5391.42 	5447.89 	5353.2 	5434.75 	5388.95 	5369.3 e	5374.67 e	5692.11 be	5543.35 e	5437.02 e
A,NR,US	3174.28 	5005.33 	6425.89 	7509.3 	9107.08 	10219.17 	10654.7 	11629.43 	12167.6 	13538.13 	15135.56 	16427.79 	17354.96 	17277.28 	17696.04 	18411.47 	19558.16 	21894.3 	23330.48 	26195.47 	28697.91 	31023.42 	32098.49 	31741.05 	33324.85 	34283.93 	36040.06 	37644.31 	35273.28 	32593.68 	31070.88 	30382.18 	30467.56 	32467.45 	34066.32 	35294.37 e	36903.31 e	: 	: 	: 
A,NR,WORLD	11549.27 	18900.22 	24333.12 	28492.03 	31643.62 	36266.76 	39607.57 	42920.84 	45505.99 	51989.29 	57602.81 	61742.83 	61090.08 	59712.59 	59883.81 	62035.37 	64887.58 	70680.12 	79614.92 	89613.59 	98369.56 	108620.43 	116648.72 	114951.12 	118512.13 	124031.33 	131709.15 	136389.55 	135434.11 	132939.57 	127211.1 	129024.82 	132636.52 	135501.96 	137633.73 	140503.37 e	143125.65 e	: 	: 	: 
A,NR,ZA	: 	32 	49.33 	68 	58.4 	83.07 	73.33 	71.33 	93.57 	71.62 	88.14 	86.66 	58.75 	63.28 	118.07 	94.12 	76.27 	79.62 	83.24 	137.57 	148.24 	139.33 	147.01 	121.25 	131.88 	149.66 	148.39 	137.72 	160.37 	135.36 	143.49 	119.1 	125.83 	128.69 	127.76 	130.65 e	132.26 e	: 	: 	: 
A,PPS_HAB,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34.07 	36.94 	45.17 	42.6 	45.63 	47.14 	48.29 	49.66 	52.74 	52.52 	54.23 	58.93 	55.73 	52.29 	58.01 	57.3 	55.74 	56.28 	57.64 e	: 	: 	: 	: 
