freq,sectperf,prof_pos,sex,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,BES,OTH,F,FTE,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2751.7 	2727.2 	3222.4 	3736.4 	4396.7 	4568.2 	4680.3 	5880 	5280 	5978.8 	6095.9 	6205.4 	6166.7 	: 	: 	: 	: 	: 	: 	: 	12449 	: 
A,BES,OTH,F,FTE,JP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40752 d	39947 d	37884 d	34262 d	31451 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,FTE,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1872.7 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,FTE,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	64 	77 	46 	83 	117 	133 	90 	348 	115 	118 	104 	199 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,FTE,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	180.9 	: 	267 	: 	313 	: 	151 	: 	80.1 	: 	76.3 	: 	74.6 	: 	85.9 	: 	81.9 	: 	98 	: 
A,BES,OTH,F,FTE,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	157 	90 	77 	71 	77 	89 	219 	280 	147 	134 	163 	174 	224 	206 	91 	139 	81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,FTE,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.4 	: 	16.9 	12.9 	: 	: 	3.4 	11.1 	13 	: 	: 	: 	: 	: 
A,BES,OTH,F,FTE,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	1 	1 	2.2 	3 	: 	: 	13.7 	22 	4.4 	8.5 	15.7 	11.8 	: 	10 	: 	: 
A,BES,OTH,F,FTE,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18 b	22 	25 	14.5 	17.5 	17.5 	35 	40.5 	36.5 	36 	53 	49 	60 	40 	35 	58.5 	58.5 	83 	86 	114 	: 
A,BES,OTH,F,FTE,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3204.5 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,FTE,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2369 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2033.7 	2309.4 	: 	3103 	3442.2 	2968.3 	2725.1 	2865.6 	: 
A,BES,OTH,F,FTE,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	117.8 	194.3 e	270.8 	255.8 e	240.7 	329.5 e	418.2 	250.2 	256.9 	208.5 	285.5 	228.2 	296.7 b	327.8 	373 	420.4 	496.2 	556.5 	652.5 	743.9 	878.4 	1015.3 	1092.7 	: 
