country_id,year,indicators_available,total,completeness_pct
585,2025,5,75,6.7
588,2025,5,75,6.7
623,2025,5,75,6.7
602,2025,5,75,6.7
527,2025,5,75,6.7
708,2025,5,75,6.7
682,2025,5,75,6.7
681,2025,5,75,6.7
679,2025,5,75,6.7
714,2025,5,75,6.7
611,2025,5,75,6.7
715,2025,5,75,6.7
675,2025,5,75,6.7
674,2025,5,75,6.7
520,2025,5,75,6.7
555,2025,5,75,6.7
519,2025,5,75,6.7
558,2025,5,75,6.7
559,2025,5,75,6.7
664,2025,5,75,6.7
663,2025,5,75,6.7
562,2025,5,75,6.7
654,2025,5,75,6.7
726,2025,5,75,6.7
513,2025,5,75,6.7
748,2025,5,75,6.7
571,2025,5,75,6.7
646,2025,5,75,6.7
731,2025,5,75,6.7
577,2025,5,75,6.7
578,2025,5,75,6.7
636,2025,5,75,6.7
733,2025,5,75,6.7
630,2025,5,75,6.7
629,2025,5,75,6.7
702,2025,5,75,6.7
534,2025,5,75,6.7
696,2025,5,75,6.7
701,2025,5,75,6.7
608,2025,5,75,6.7
