"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Samoa américaines","ASM","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","287","288","290","296","305","315","322","332","340","348","354","355","356","359","367","378","394","412","430","451","471","491","515","541","567","592","617","648","687","725","768","810","847","879","907","931","948","958","969","985","1009","1040","1072","1101","1122","1137","1147","1153","1157","1157","1178","1224","1273","1325","1384","1439","1492","1542","1586","1628","1687","1759","1823","1905","2003",
"Antigua-et-Barbuda","ATG","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","1494","1546","1619","1702","1780","1847","1904","1953","1999","2042","2104","2186","2272","2361","2448","2537","2627","2712","2799","2886","2973","3059","3148","3234","3294","3329","3345","3340","3328","3307","3277","3260","3250","3229","3211","3201","3190","3182","3182","3196","3232","3272","3302","3319","3335","3356","3387","3429","3481","3548","3648","3774","3909","4045","4185","4347","4541","4742","4936","5145","5380","5630","5899","6203","6536",
"Australie","AUS","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","497580","510574","526529","539360","551379","563019","575711","581740","589395","598204","606641","625702","640744","657823","682422","701647","722630","744448","767472","791353","815612","840763","865766","887566","909144","934302","964136","994841","1024509","1053001","1080566","1109455","1136617","1160588","1183748","1206603","1230446","1251794","1271358","1291317","1311952","1336303","1359312","1382696","1406268","1432144","1459170","1491891","1527165","1569667","1613899","1662695","1721183","1780205","1836215","1892760","1952189","2013993","2077658","2150082","2231077","2290295","2366759","2471777","2572743",
"Autriche","AUT","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","527934","541610","555202","567749","581284","594468","607481","620992","632904","643462","653063","663222","674652","686336","697926","708547","717240","726255","734635","741039","741533","732492","718280","702865","695302","699377","709124","720568","732190","743035","752528","759551","763477","766063","768539","770781","772185","772905","773154","772188","770610","770440","769911","769737","781242","803018","823348","837782","848194","858355","863357","866866","877058","890320","903057","913580","922505","931607","941119","951988","965857","983613","1007905","1034695","1059630",
"Azerbaïdjan","AZE","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","109673","111905","113727","116104","119464","122891","126578","130336","134038","137562","140825","144103","147245","150105","152759","155115","156562","157204","157969","158924","159737","160401","160532","163298","166340","169404","171723","172755","176274","182706","190737","198493","207185","219701","230784","239701","244769","246615","249525","254457","265050","278640","293167","307500","319110","327590","333173","333908","332941","328642","322416","319648","320925","325754","331827","340260","351633","364148","378131","394666","411835","429014","450540","478296","511967",
"Burundi","BDI","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","50550","51946","53463","54954","56722","58364","59882","61538","63144","64712","66327","68050","68427","68681","70365","72095","73691","75381","77171","78793","81202","83525","85077","86738","88234","89521","90518","91562","92202","92437","92651","92677","92938","89727","89145","91722","90481","89677","90501","91817","93024","94681","96761","99221","102207","105230","108208","111371","115038","119711","124129","127570","131131","134958","138389","142206","147504","153649","160667","168042","174924","181347","187651","194235","200579",
"Belgique","BEL","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","629802","641534","654446","667090","681901","698150","713457","728790","741050","751374","760685","770619","783314","795973","807739","818256","826543","835480","845039","853605","857227","851375","839975","826343","819926","827104","840072","853791","870192","885913","900075","914346","927074","938909","950980","965002","979485","992712","1003476","1012003","1019495","1026474","1033345","1040363","1048658","1055026","1056394","1057176","1062108","1069354","1077121","1095804","1113198","1128954","1145170","1160290","1174519","1189835","1205579","1222423","1236779","1253978","1282427","1315076","1346962",
"Bénin","BEN","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","88275","88264","88491","88862","89292","89744","90144","90476","90835","91271","91790","92354","92971","93644","94334","95047","95798","96607","97469","98384","99371","100428","101560","102757","104017","105344","106759","108267","109878","111594","113375","115208","117118","119912","122326","123812","125800","128181","130800","133532","136370","139306","142326","145504","148958","152926","157105","161395","166030","170860","175816","180730","185007","188905","192862","196852","201106","205634","210478","215673","221275","226943","233129","240305","248033",
"Burkina Faso","BFA","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","56830","59385","61980","64648","67445","70396","73507","76793","80227","83752","87384","91101","94852","98686","102682","106858","111206","115746","120437","125195","130003","134821","139616","144402","149121","153703","158078","162226","166151","169863","173377","176668","179795","182817","185733","188570","191335","194059","196973","200166","203543","207221","211267","215636","220294","225236","230490","236113","242277","249099","256477","264233","271845","277906","282887","288591","295221","302594","310658","319392","328764","338082","347751","358870","370805",
"Bangladesh","BGD","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","700542","714695","731853","751251","772890","796202","821377","849319","878939","909014","935235","938045","947496","985912","1027794","1073942","1124851","1177660","1230880","1282928","1332968","1380972","1427391","1473160","1519164","1565315","1611695","1658069","1703126","1745982","1786317","1821375","1854954","1891193","1928387","1967828","2010869","2058581","2111717","2171143","2237437","2308901","2385820","2469341","2557470","2649194","2745756","2849013","2960813","3083075","3216738","3365077","3525912","3686080","3843699","4017414","4212711","4417465","4624647","4831248","5012155","5161239","5335783","5546579","5759826",
"Bulgarie","BGR","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","326530","338158","348237","356484","365868","378661","392966","404339","416772","430042","443879","459338","474035","487909","502054","514885","527201","541372","547826","555340","570543","573176","562177","551002","551351","563957","581384","600063","618035","631152","643762","660328","675384","690418","705571","719307","731141","741652","753574","767202","778806","775930","770267","772501","774507","776607","778551","780827","784290","788778","795418","807548","822179","823971","832543","840727","845971","848002","849453","850371","851758","849924","846274","849365","855997",
"Bahreïn","BHR","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","2256","2329","2406","2489","2579","2672","2771","2876","2965","3021","3039","3050","3090","3148","3208","3271","3333","3393","3446","3488","3529","3612","3736","3869","4006","4147","4288","4416","4542","4691","4866","4788","4975","5196","5459","5732","5975","6168","6325","6531","6803","7080","7540","8064","8697","9405","10130","10905","11579","12452","13291","13428","13941","14943","16254","16841","17217","18377","19361","20733","22423","24217","25143","27203","28972",
