"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Antigua-et-Barbuda","ATG","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australie","AUS","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","1.78154349629032E-08","1.69947085705123E-08","1.80329224915212E-08","1.98469645159482E-08","2.02714845387998E-08","2.05059270485167E-08","2.0376777431374E-08","1.97413452401974E-08","2.03835169318645E-08","2.14312398004994E-08","2.15546659852937E-08","2.16835013284973E-08","2.09880294099775E-08","2.2465615152659E-08","2.25269718757418E-08","2.318295171163E-08","2.30998110734352E-08","2.26146215529468E-08","2.24000039482678E-08","2.22982298374105E-08","2.06110291949277E-08","1.99526579865482E-08","1.99789850327209E-08","2.11275093183836E-08","2.1838587960822E-08","2.23407403687315E-08","2.21906538382694E-08","2.23750515718788E-08","2.29835970252002E-08","2.48100919346919E-08","2.35096379102133E-08","2.42596128506148E-08","2.42195290194588E-08","2.47148112586711E-08","2.44695693337421E-08","2.39945520669883E-08","2.41542735049965E-08","2.19501151705037E-08","2.0411751894265E-08","2.02598123616431E-08","2.1028478984604E-08","2.18526958939392E-08","2.18026703321947E-08","2.17852484720567E-08","2.21881700823279E-08","2.20221874286349E-08","2.31220344318251E-08","2.33142643790741E-08","2.2507523858651E-08","2.30039076566829E-08","2.35614929509239E-08","","",
"Autriche","AUT","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","1.79591290005914E-05","1.82685059575248E-05","1.8469684047195E-05","1.80817489751673E-05","1.79325719256818E-05","1.8070071107883E-05","1.88513880807315E-05","1.86230604077067E-05","1.86510584649007E-05","1.90243413993757E-05","1.8261949967437E-05","1.81034977014602E-05","1.90386492456267E-05","1.81749729324038E-05","1.80430086958788E-05","1.77897642119782E-05","1.86357946612531E-05","1.78757688140551E-05","1.80517896669057E-05","1.82386167583979E-05","1.89948808856363E-05","1.90099150177783E-05","1.8417712713886E-05","2.46852666278446E-05","2.60699077341455E-05","2.6926211709083E-05","2.702386308091E-05","2.67081532349359E-05","2.63582503226179E-05","2.81049696740217E-05","2.71759762710679E-05","2.68133590933971E-05","2.64758305323051E-05","2.56489616551304E-05","2.51943406740954E-05","2.55950050669501E-05","2.6248140017775E-05","2.53973668580862E-05","2.5495733887384E-05","2.56466391466356E-05","2.61830994283732E-05","2.67741686943731E-05","2.68419027283415E-05","2.72160274066387E-05","2.58220277699052E-05","2.57616861075799E-05","2.57216448598991E-05","2.58096620383826E-05","2.4666005775658E-05","2.60148539837239E-05","2.61266920803131E-05","2.5640680066923E-05","",
"Azerbaïdjan","AZE","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.55591673338671E-05","1.79540725466304E-05","9.85045743980092E-06","1.0693809961055E-05","1.26793349997094E-05","1.27334587163254E-05","","","","","","","","","1.64211753684861E-05","1.41067089869809E-05","1.21577769928176E-05","1.22247609538804E-05","1.27786393685483E-05","1.33883331614589E-05","1.42125356482603E-05","1.56031629275469E-05","1.45555165725558E-05","1.31640455061148E-05","1.29712717874444E-05","1.42188526451777E-05","1.51855725074093E-05","1.34213202980155E-05","1.54476897158899E-05","1.77860607300996E-05","",
"Burundi","BDI","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5142662979358E-08","1.51227839627811E-08","1.49289163092236E-08","1.56160547727238E-08","1.66782065784591E-08","1.34389965792474E-08","1.14203617269545E-08","1.38542953523238E-08","1.31656455862978E-08","","","","","","","","","","","1.3855957125156E-08","1.55318060779053E-08","1.45331459203268E-08","1.34877674722013E-08","1.36898075514221E-08","1.44989724758888E-08","1.40031515072636E-08","1.38214527654461E-08","","1.35121247978402E-08","1.29599323354184E-08","1.26333374627504E-08","","","",
"Belgique","BEL","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.562241940319E-05","2.60298916733672E-05","2.65670243171063E-05","2.71630417867819E-05","2.70095118766394E-05","2.72747413568488E-05","2.67865121102057E-05","2.5712345094836E-05","2.50766180109402E-05","2.55379612606576E-05","2.54713299290151E-05","2.52877504793919E-05","2.47885375338784E-05","2.52541698756848E-05","2.36951482292977E-05","2.44613514281372E-05","2.47537791878132E-05","2.57069678443471E-05","2.60756081287063E-05","2.60083569098349E-05","2.44227242755175E-05","2.29285982517678E-05","2.35351388069477E-05","2.40377739058673E-05","2.25978209383393E-05","2.18615640422477E-05","2.32249877086564E-05","2.27983120173894E-05","","",
"Bénin","BEN","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","1.30574947445606E-08","1.29726711934565E-08","1.226007922036E-08","1.07891425473787E-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.66138376976637E-09","9.86131120525554E-09","1.12910196611467E-08","1.04497340752352E-08","1.07784082619188E-08","1.12791891175924E-08","1.05488763470651E-08","1.1127631728475E-08","1.13100646526483E-08","1.22194913583116E-08","1.3889962428562E-08","1.49486419589638E-08","1.36638275123117E-08","1.32802007030138E-08","1.41391533049498E-08","1.52607212238254E-08","1.52924120796082E-08","1.56406078587093E-08","1.37423701755588E-08","1.60197877797196E-08","1.78607653483496E-08","1.85514879980901E-08","",
"Bangladesh","BGD","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.61116027143823E-09","6.69138419067813E-09","6.96521390375867E-09","7.04644841818552E-09","7.13567003946154E-09","7.04330405780911E-09","6.91726266856821E-09","7.65602988282474E-09","7.49811626276927E-09","7.83468474946733E-09","8.68592470557816E-09","9.02456269019499E-09","8.96241331541821E-09","8.6353777373447E-09","8.49834882820801E-09","7.31691184755758E-09","6.99714263243688E-09","7.73177216647423E-09","7.63863895398449E-09","7.00153674405437E-09","7.64236300887138E-09","","","",
"Bulgarie","BGR","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.38331284450966E-05","2.23338246131172E-05","1.69033864541833E-05","1.52137838742054E-05","2.12389649923897E-05","1.11566642653274E-05","1.20685973776701E-05","1.85226349001335E-05","1.93755012747903E-05","2.00322957340146E-05","2.04579930652149E-05","1.97804941270264E-05","1.81476658113756E-05","2.01151861523983E-05","2.10295709865638E-05","2.08855219915078E-05","2.1812020406639E-05","2.17606132992206E-05","2.19738798204441E-05","1.8586498644158E-05","1.78714315570459E-05","1.78827151475731E-05","1.83853352646645E-05","1.96862822353302E-05","1.95666207727537E-05","2.00778036414442E-05","2.03330299615082E-05","2.0523224655166E-05","1.9983539050314E-05","2.0595103763448E-05","2.01966624707302E-05","2.05917857007665E-05","2.17263560549334E-05","2.05146095521809E-05","",
"Bahreïn","BHR","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.56210399299131E-06","4.43354361335122E-06","4.74094781737692E-06","4.70474275851932E-06","4.54981588369713E-06","4.21857580880695E-06","4.43507307923291E-06","4.48333472278643E-06","4.9815184530649E-06","4.40879662320092E-06","3.73277772071662E-06","4.10364290899394E-06","3.57899289191497E-06","3.30681318786877E-06","4.21684066611925E-06","1.16184562908878E-06","1.16617489174005E-06","1.14509796242081E-06","1.23581558449619E-06","1.3631667858969E-06","1.12828093917582E-06","1.07176697647209E-06","1.13708147282797E-06","1.02928468252976E-06","7.92383936021881E-07","9.90043144194505E-07","8.08517153769355E-07","9.36278226979608E-07","1.09260242338125E-06","2.87818871909521E-06","2.82317547820215E-06","","","","",
"Bahamas","BHS","Revenus fiscaux (% du PIB)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.38629185091598E-05","1.36379999742861E-05","1.54326149887424E-05","1.53945666235446E-05","1.67167842896594E-05","1.73461650627005E-05","1.70490440565254E-05","1.03952396894681E-05","9.97250198295972E-06","1.03236780424448E-05","1.06786875949518E-05","9.85954269322648E-06","8.99909471285283E-06","9.28851905674012E-06","9.42833415605685E-06","1.00017079766577E-05","1.12483316531019E-05","1.13588658867582E-05","1.21213661409842E-05","1.12520687319925E-05","1.07623149322092E-05","1.3011020858055E-05","1.2039369463826E-05","1.17717003713497E-05","1.12869799983841E-05","1.27014255254443E-05","1.41340479509128E-05","1.47905517839783E-05","1.43197235396905E-05","1.65602018528282E-05","1.79313432819978E-05","1.33895376505774E-05","1.55305623380922E-05","1.61980053499047E-05","",
