indicatorId,geoUnit,year,type,subtype,value
ILLPOP.AG15T99,ARM,2020,Data Status,Data reporting,"Literacy definition: A literate person has primary education or can read and write simple concepts in any language.  For those with no primary education, ask: - Are you literate? Yes, No Description: Literate were considered the persons who can read and understand the meaning read, in any language and describe simple reality of everyday life in written."
ILLPOP.AG15T99,ARM,2020,Source,Data sources,Source: Administrative records and register based national estimates
ILLPOP.AG15T99,ATG,2001,Data Status,Data reporting,Literacy definition: ...
ILLPOP.AG15T99,ATG,2001,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,AZE,2007,Data Status,Data reporting,Literacy definition: Literate are considered the persons who can read and write with understanding in any language having written form.
ILLPOP.AG15T99,AZE,2007,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,AZE,2009,Data Status,Data reporting,"Literacy definition: Literacy test: respondent was asked to read, understand and write a short story regarding his/her routine life."
ILLPOP.AG15T99,AZE,2009,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,AZE,2010,Data Status,Data reporting,Literacy definition: Data are estimated based on the census 2009 by the country:
ILLPOP.AG15T99,AZE,2010,Source,Data sources,Source: Administrative records and register based national estimates
ILLPOP.AG15T99,AZE,2011,Data Status,Data reporting,Literacy definition: Data are estimated based on the census 2009 by the country.
ILLPOP.AG15T99,AZE,2011,Source,Data sources,Source: Administrative records and register based national estimates
ILLPOP.AG15T99,AZE,2012,Data Status,Data reporting,Literacy definition: Data are estimated based on the census 2009 by the country.
ILLPOP.AG15T99,AZE,2012,Source,Data sources,Source: Administrative records and register based national estimates
ILLPOP.AG15T99,AZE,2013,Data Status,Data reporting,Literacy definition: Data are estimated based on the census 2009 by the country.
ILLPOP.AG15T99,AZE,2013,Source,Data sources,Source: Administrative records and register based national estimates
ILLPOP.AG15T99,AZE,2014,Data Status,Data reporting,Literacy definition: Data are estimated based on the census 2009 by the country.
ILLPOP.AG15T99,AZE,2014,Source,Data sources,Source: Administrative records and register based national estimates
ILLPOP.AG15T99,AZE,2015,Data Status,Data reporting,Literacy definition: Data are estimated based on the census 2009 by the country.
ILLPOP.AG15T99,AZE,2015,Source,Data sources,Source: Administrative records and register based national estimates
ILLPOP.AG15T99,AZE,2016,Data Status,Data reporting,Literacy definition: Data are estimated based on the census 2009 by the country.
ILLPOP.AG15T99,AZE,2016,Source,Data sources,Source: Administrative records and register based national estimates
ILLPOP.AG15T99,AZE,2017,Data Status,Data reporting,Literacy definition: Literacy test
ILLPOP.AG15T99,AZE,2017,Source,Data sources,Source: Population Census based estimates
ILLPOP.AG15T99,AZE,2019,Data Status,Data reporting,Literacy definition: Literacy test
ILLPOP.AG15T99,AZE,2019,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,AZE,2023,Data Status,Data reporting,Literacy definition: Literacy test
ILLPOP.AG15T99,AZE,2023,Source,Data sources,Source: Population Census based estimates
ILLPOP.AG15T99,BDI,1990,Data Status,Data reporting,"Literacy definition: A person is defined as literate if they can both read and write a short, simple statement on his or her everyday life."
ILLPOP.AG15T99,BDI,1990,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BDI,2000,Data Status,Data reporting,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.
ILLPOP.AG15T99,BDI,2000,Source,Data sources,Source: Multiple Indicator Cluster Survey (UNICEF MICS2)
ILLPOP.AG15T99,BDI,2008,Data Status,Data reporting,Literacy definition: What is the language that [name of respondent 10 years and over] can read and write?
ILLPOP.AG15T99,BDI,2008,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BDI,2014,Data Status,Data reporting,Literacy definition: Can (NAME) read a simple sentence in French or English or Kirundi or Swahili or other languages?
ILLPOP.AG15T99,BDI,2014,Source,Data sources,"Source: Modular Survey on Living Conditions of Households, Manpower, Nutrition and Social Protection in Burundi (ECVMB)"
ILLPOP.AG15T99,BDI,2017,Data Status,Data reporting,"Literacy definition: Can (NAME) read and write a simple sentence in i) French, ii) Kirundi, iii) other languages?"
ILLPOP.AG15T99,BDI,2017,Source,Data sources,Source: Household Life Conditions Survey
ILLPOP.AG15T99,BDI,2024,Data Status,Data reporting,"Literacy definition: 2017 Household Life Conditions Survey: Can (NAME) read and write a simple sentence in i) French, ii) Kirundi, iii) other languages?"
ILLPOP.AG15T99,BDI,2024,Source,Data sources,Source: UIS estimates: GALP
ILLPOP.AG15T99,BEN,1992,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BEN,2002,Data Status,Data reporting,"Literacy definition: A person is literate who can, with understanding, both read and write a short simple statement on his or her everyday life."
ILLPOP.AG15T99,BEN,2002,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BEN,2006,Data Status,Data reporting,Literacy definition: UIS estimate based on 2006 Demographic and Health Survey data with assessment of reading skills of male population 15-64 years and female population 15-49 years.  Literacy rates based on a reading assessment are likely to be lower than literacy rates based on self- or household declaration.
ILLPOP.AG15T99,BEN,2006,Source,Data sources,Source: UIS estimates: DHS/GALP
ILLPOP.AG15T99,BEN,2013,Data Status,Data reporting,"Literacy definition: The question relative to this variable only concerns those of 6 or more years of age. Literacy is a persons' ability to read and write, while understanding, a text on daily events in any language [national language, foreign language]. In all samples, literacy is the ability to read and write in any language, including local languages."
ILLPOP.AG15T99,BEN,2013,Source,Data sources,Source: IPUMS data
